work_year,experience_level,employment_type,job_title,salary,employee_residence,workplace_type,company_location,company_size,Job_Category
2024,Mid,Full Time,Data Scientist,132567,US,In Person,US,M,Data Scientist
2024,Mid,Full Time,Data Scientist,96412,US,In Person,US,M,Data Scientist
2024,Senior,Full Time,Machine Learning Engineer,309000,US,In Person,US,M,Machine Learning Engineer
2024,Senior,Full Time,Machine Learning Engineer,142000,US,In Person,US,M,Machine Learning Engineer
2024,Senior,Full Time,Research Engineer,333500,US,In Person,US,M,Data Engineer
2024,Senior,Full Time,Research Engineer,156000,US,In Person,US,M,Data Engineer
2024,Senior,Full Time,Data Scientist,266875,US,In Person,US,M,Data Scientist
2024,Senior,Full Time,Data Scientist,128250,US,In Person,US,M,Data Scientist
2024,Senior,Full Time,Data Engineer,191311,US,Remote,US,M,Data Engineer
2024,Senior,Full Time,Data Engineer,166358,US,Remote,US,M,Data Engineer
2024,Senior,Full Time,Data Scientist,218500,US,Remote,US,M,Data Scientist
2024,Senior,Full Time,Data Scientist,190000,US,Remote,US,M,Data Scientist
2024,Mid,Full Time,Data Specialist,70000,US,In Person,US,M,Data Management
2024,Mid,Full Time,Data Specialist,60000,US,In Person,US,M,Data Management
2024,Senior,Full Time,Machine Learning Engineer,324000,US,In Person,US,M,Machine Learning Engineer
2024,Senior,Full Time,Machine Learning Engineer,159000,US,In Person,US,M,Machine Learning Engineer
2024,Senior,Full Time,Analytics Engineer,179000,US,In Person,US,M,Data Analyst
2024,Senior,Full Time,Analytics Engineer,152000,US,In Person,US,M,Data Analyst
2024,Senior,Full Time,Machine Learning Engineer,235680,US,In Person,US,M,Machine Learning Engineer
2024,Senior,Full Time,Machine Learning Engineer,153040,US,In Person,US,M,Machine Learning Engineer
2024,Entry,Full Time,Data Analyst,140000,US,In Person,US,M,Data Analyst
2024,Entry,Full Time,Data Analyst,100000,US,In Person,US,M,Data Analyst
2024,Mid,Full Time,Data Analyst,187000,US,In Person,US,M,Data Analyst
2024,Mid,Full Time,Data Analyst,153000,US,In Person,US,M,Data Analyst
2024,Mid,Full Time,Data Engineer,185000,US,In Person,US,L,Data Engineer
2024,Mid,Full Time,Data Engineer,81000,US,In Person,US,L,Data Engineer
2024,Senior,Full Time,Machine Learning Engineer,290000,US,In Person,US,M,Machine Learning Engineer
2024,Senior,Full Time,Machine Learning Engineer,203000,US,In Person,US,M,Machine Learning Engineer
2024,Senior,Full Time,AI Engineer,142352,US,In Person,US,M,Machine Learning Engineer
2024,Senior,Full Time,AI Engineer,95325,US,In Person,US,M,Machine Learning Engineer
2024,Mid,Full Time,Data Analyst,187000,US,In Person,US,M,Data Analyst
2024,Mid,Full Time,Data Analyst,153000,US,In Person,US,M,Data Analyst
2024,Senior,Full Time,Data Scientist,190000,CA,In Person,CA,M,Data Scientist
2024,Senior,Full Time,Data Scientist,158500,CA,In Person,CA,M,Data Scientist
2024,Mid,Full Time,Data Scientist,240000,US,In Person,US,M,Data Scientist
2024,Mid,Full Time,Data Scientist,180000,US,In Person,US,M,Data Scientist
2024,Entry,Contract,AI Research Scientist,88888,DE,In Person,DE,L,Machine Learning Engineer
2024,Executive,Full Time,Data Science Director,106666,ES,Remote,ES,L,Other
2024,Executive,Full Time,Data Science Director,106666,ES,Remote,ES,L,Other
2024,Senior,Full Time,Data Engineer,130500,US,In Person,US,M,Data Engineer
2024,Senior,Full Time,Data Engineer,96000,US,In Person,US,M,Data Engineer
2024,Mid,Full Time,Data Scientist,166000,US,In Person,US,M,Data Scientist
2024,Mid,Full Time,Data Scientist,73100,US,In Person,US,M,Data Scientist
